"id","text","label","llm_label","notes"
"1","A larger World Cup had some worrying the competition would suffer. It hasn't","opinion","opinion","reasoned claim without specific evidence"
"2","10 men and a statue: Portugal are sacrificing another World Cup for Cristiano Ronaldo’s ego","fan_commentary","fan_commentary","reactionary criticism"
"3","Australian World Cup fans were caught chanting: “Aussie boys are on a bender, Donald Trump is a sex offender.”","analysis","analysis","specific reported event"
"4","World Cup predictions based on the model that picked the last 3 World Cup Champions","analysis","analysis","model-based prediction with historical support"
"5","Some US players believe they can win the World Cup. Are they deluded?","opinion","opinion","argumentative question without evidence"
"6","Hydration breaks at World Cup add nothing but take away a lot , Says Bielsa","opinion","opinion","quoted opinion without supporting data"
"7","Cape Verde players reactions after securing their first ever World Cup point against Spain","fan_commentary","fan_commentary","reaction-focused post"
"8","The Athletic's ranking of the 48 teams at the World Cup","analysis","analysis","ranking based on evaluative evidence"
"9","Senne Lammens voted as the Premier League Signing of the Season by The Athletic","analysis","analysis","awards-based ranking"
"10","Erling Haaland has scored 2 or more goals on his Bundesliga, Premier League, Champions League and World Cup debuts","analysis","analysis","specific comparative milestone"
"11","Bruno Fernandes wins Premier League Player of the Year","fan_commentary","fan_commentary","award announcement"
"12","Arsenal are the first ever team in Premier League history to go the whole season without receiving a red card or conceding a penalty","analysis","analysis","unprecedented record evidence"
"13","Declan Rice wins the BBC Premier League Player of the Year","fan_commentary","fan_commentary","award celebration"
"14","Premier League to relax red cards for hair pulling","opinion","opinion","policy commentary without evidence"
"15","Erling Haaland is the fastest player to score 100 goals in Premier League history","analysis","analysis","verifiable historical record"
"16","How referee calls shaped the Premier League: What the table could have looked like with correct decisions","analysis","analysis","analytical counterfactual with data"
"17","Max Dowman is the youngest ever player to start a Premier League match at 16 years and 144 days","analysis","analysis","record with specific age data"
"18","Bruno Fernandes breaks the Premier League assist record with 21 assists","fan_commentary","fan_commentary","record celebration"
"19","At the moment I have a feeling they are making their own rules. There has to be a limit.","opinion","opinion","manager criticism without evidence"
"20","The top 4 Saudi League teams would be okay in the Premier League. The top teams would be lower Prem, top Champ.","opinion","opinion","comparative league argument without data"
"21","Arsenal video on becoming Premier league champions","fan_commentary","fan_commentary","celebratory content"
"22","Full time scenes as Leicester City are relegated to League One","fan_commentary","fan_commentary","dramatic outcome reaction"
"23","[The Athletic] How much prize money each Premier League team earned this season","analysis","analysis","financial data breakdown"
"24","Days spent on top of Premier League since 2004","analysis","analysis","historical tracking statistic"
"25","Bruno Fernandes has reached 200 goal involvements - second fastest United player in PL era","analysis","analysis","cumulative achievement"
"26","Mohamed Salah has now provided more PL assists for Liverpool than any other player in history","analysis","analysis","record-breaking statistic"
"27","Chances created by Bruno Fernandes compared to other Premier League players","analysis","analysis","comparative playing statistics"
"28","Arsenal winning the Premier League, all 2024/25 UCL Semi-Finalists have won their domestic league","analysis","analysis","pattern observation with evidence"
"29","Top 28 all time Premier League table","analysis","analysis","historical comparison data"
"30","Manchester United are now in 3rd place in the Premier League for the first time since May 2023","fan_commentary","fan_commentary","league position celebration"
